x,y,vel,vel_ang,gazebox,gazeboy,blad,blad_bok,caly_blad
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.00188607,-2.69922e-08,0.0505,0,0.0019297,-3.37216e-08,4.36339e-05,4.36339e-05,4.36339e-05
0.00188607,-2.69922e-08,0.0505,0,0.0019297,-3.37216e-08,4.36339e-05,8.72677e-05,8.72677e-05
0.00689903,-2.48996e-07,0.0985,0,0.00882416,-3.74258e-07,0.00192513,0.0020124,0.0020124
0.0175643,-1.10797e-06,0.149,0,0.0205642,-1.42e-06,0.00299993,0.00501233,0.00501233
0.0296668,-2.52044e-06,0.195,0,0.0370577,-3.55765e-06,0.00739092,0.0124033,0.0124033
0.053375,-6.21359e-06,0.2425,0,0.0584604,-7.1338e-06,0.00508541,0.0174887,0.0174887
0.0729913,-1.00323e-05,0.2925,0,0.0842799,-1.24929e-05,0.0112886,0.0287773,0.0287773
0.108405,-1.84085e-05,0.3415,0,0.115336,-2.02205e-05,0.00693028,0.0357076,0.0357076
0.135983,-2.60555e-05,0.3905,0,0.151325,-3.06532e-05,0.015342,0.0510496,0.0510496
0.174841,-3.82532e-05,0.4405,0,0.192214,-4.41621e-05,0.0173729,0.0684225,0.0684225
0.228004,-5.73516e-05,0.4885,0,0.238532,-6.13796e-05,0.0105276,0.0789501,0.0789501
0.277641,-7.7376e-05,0.537,0,0.288673,-8.20177e-05,0.0110326,0.0899827,0.0899827
0.320859,-9.63786e-05,0.586,0,0.344245,-0.000107155,0.0233859,0.113369,0.113369
0.391661,-0.000130454,0.6355,0,0.404769,-0.000137033,0.0131083,0.126477,0.126477
0.44272,-0.00015707,0.6845,0,0.470078,-0.000171858,0.0273577,0.153835,0.153835
0.525159,-0.000203384,0.7295,0,0.540259,-0.000212146,0.0150996,0.168934,0.168934
0.598889,-0.000247898,0.7785,0,0.615764,-0.000258337,0.0168759,0.18581,0.18581
0.693614,-0.000309194,0.817,0,0.695249,-0.000310106,0.00163448,0.187445,0.187445
0.758972,-0.000353156,0.817,0,0.763876,-0.000356273,0.00490439,0.192349,0.192349
0.840669,-0.000408093,0.817,0,0.85783,-0.000419445,0.0171611,0.20951,0.20951
0.906029,-0.000452042,0.817,0,0.93953,-0.000474373,0.0335016,0.243012,0.243012
0.987728,-0.000506974,0.817,0,1.02123,-0.000529299,0.033502,0.276514,0.276514
1.10211,-0.000583871,0.817,0,1.10293,-0.000584219,0.000822783,0.277337,0.277337
1.16747,-0.000627809,0.817,0,1.18463,-0.000639135,0.0171632,0.2945,0.2945
1.21649,-0.00066076,0.817,0,1.26715,-0.000694596,0.0506605,0.34516,0.34516
1.33087,-0.000737641,0.817,0,1.34885,-0.000749504,0.0179811,0.363141,0.363141
1.39612,-0.000781472,0.783,0,1.42969,-0.000803427,0.0335715,0.396713,0.396713
1.47461,-0.00083238,0.733,0,1.50536,-0.000851225,0.0307505,0.427463,0.427463
1.57621,-0.000893262,0.687,0,1.57691,-0.000893479,0.000701189,0.428164,0.428164
1.63024,-0.000923364,0.639,0,1.64391,-0.000930534,0.0136768,0.441841,0.441841
1.69335,-0.000956212,0.589,0,1.70597,-0.000962299,0.01262,0.454461,0.454461
1.75143,-0.000984016,0.5395,0,1.76355,-0.000989353,0.0121145,0.466576,0.466576
1.7943,-0.00100292,0.4885,0,1.81507,-0.00101142,0.0207686,0.487344,0.487344
1.83401,-0.00101913,0.4385,0,1.8621,-0.00102962,0.0280902,0.515435,0.515435
1.89571,-0.00104149,0.382,0,1.90923,-0.00104577,0.0135182,0.528953,0.528953
1.92658,-0.00105125,0.338,0,1.94185,-0.00105557,0.0152704,0.544223,0.544223
1.96065,-0.00106075,0.289,0,1.97321,-0.00106378,0.0125587,0.556782,0.556782
1.99999,-0.00106979,0.2385,0,2.00024,-0.00106975,0.000254273,0.557036,0.557036
2.01385,-0.00107239,0.188,0,2.02249,-0.00107373,0.00863409,0.56567,0.56567
2.03294,-0.00107534,0.1385,0,2.03947,-0.00107607,0.00653243,0.572203,0.572203
2.04702,-0.00107693,0.0885,0,2.05136,-0.00107721,0.00433683,0.576539,0.576539
2.05834,-0.00107768,0,0,2.05839,-0.00107761,5.34058e-05,0.576593,0.576593
2.05968,-0.00107771,0,0,2.05967,-0.00107764,3.33786e-06,0.576596,0.576596
2.05967,-0.00107771,0,0,2.05967,-0.00107764,7.86781e-06,0.576604,0.576604
2.05967,-0.00107771,0,0,2.05967,-0.00107764,8.10623e-06,0.576612,0.576612
2.05967,-0.00107771,0,0,2.05967,-0.00107764,8.10623e-06,0.57662,0.57662
2.05967,-0.00107771,0,0,2.05967,-0.00107764,8.10623e-06,0.576628,0.576628
2.05967,-0.00107771,0,0,2.05967,-0.00107764,8.10623e-06,0.576636,0.576636
2.05967,-0.00107771,0,0,2.05967,-0.00107764,8.10623e-06,0.576645,0.576645
2.05967,-0.00107771,0,0,2.05967,-0.00107764,8.10623e-06,0.576653,0.576653
2.05967,-0.00107771,0,0,2.05967,-0.00107764,7.86781e-06,0.576661,0.576661
2.05967,-0.00107771,0,0,2.05967,-0.00107764,7.86781e-06,0.576668,0.576668
2.05967,-0.00107771,0,0,2.05967,-0.00107764,7.86781e-06,0.576676,0.576676
2.05967,-0.00107771,0,0,2.05967,-0.00107764,8.10623e-06,0.576684,0.576684
2.05967,-0.00107771,0,0,2.05967,-0.00107764,8.10623e-06,0.576693,0.576693
2.05967,-0.00107771,0,0,2.05967,-0.00107764,8.10623e-06,0.576701,0.576701
2.05967,-0.00107771,0,0,2.05967,-0.00107764,8.10623e-06,0.576709,0.576709
2.05967,-0.00107771,0,0.5,2.05967,-0.00107753,1.43051e-06,0.57671,0.57671
2.05967,-0.00107768,0,0.5,2.05963,-0.00107784,3.69549e-05,0.576747,0.576747
2.05971,-0.0010759,0,0.5,2.05959,-0.00107833,0.000121355,0.576868,0.576868
2.05975,-0.00107212,0,0.5,2.05955,-0.00107762,0.000204325,0.577073,0.577073
2.0598,-0.00106523,0,0.5,2.0595,-0.00107829,0.000307083,0.57738,0.57738
2.05982,-0.00106235,0,0.5,2.05943,-0.00108246,0.000391006,0.577771,0.577771
2.05984,-0.00105783,0,0.5,2.05935,-0.00109059,0.000488281,0.578259,0.578259
2.05984,-0.0010564,0,0.5,2.05927,-0.00110269,0.000575781,0.578835,0.578835
2.05985,-0.00105544,0,0.5,2.05918,-0.00111856,0.000663042,0.579498,0.579498
2.05985,-0.00105514,0,0.5,2.0591,-0.00113813,0.000747442,0.580245,0.580245
2.05985,-0.00105522,0,0.5,2.05902,-0.00116168,0.000829697,0.581075,0.581075
2.05985,-0.00105553,0,0.5,2.05894,-0.00118852,0.000908613,0.581984,0.581984
2.05985,-0.00105636,0,0.5,2.05886,-0.00121952,0.000984192,0.582968,0.582968
2.05985,-0.0010568,0,0.5,2.05879,-0.00125453,0.00105715,0.584025,0.584025
2.05984,-0.00105797,0,0.5,2.05872,-0.00129366,0.00112581,0.585151,0.585151
2.05984,-0.00105889,0,0.5,2.05865,-0.00133697,0.00119138,0.586342,0.586342
2.05984,-0.00105966,0,0.5,2.05859,-0.00138454,0.0012536,0.587596,0.587596
2.05984,-0.00106045,0,0.5,2.05853,-0.00143636,0.00131178,0.588908,0.588908
2.05984,-0.00106168,0,0.5,2.05847,-0.00149244,0.00136518,0.590273,0.590273
2.05984,-0.00106273,0,0.5,2.05842,-0.00155333,0.00141621,0.591689,0.591689
2.05984,-0.00106401,0,0.5,2.05838,-0.00161773,0.00146174,0.593151,0.593151
2.05984,-0.00106484,0,0.5,2.05833,-0.0016854,0.00150323,0.594654,0.594654
2.05984,-0.00106605,0,0.5,2.05829,-0.00175826,0.00154161,0.596196,0.596196
2.05984,-0.00106693,0,0.5,2.05826,-0.00183324,0.00157523,0.597771,0.597771
2.05984,-0.00106828,0,0.5,2.05823,-0.00191312,0.00160551,0.599376,0.599376
2.05984,-0.00106896,0,0.5,2.0582,-0.00199615,0.00163245,0.601009,0.601009
2.05983,-0.00107058,0,0.5,2.05818,-0.00207946,0.00165415,0.602663,0.602663
2.05983,-0.00107152,0,0.5,2.05816,-0.00216695,0.0016737,0.604337,0.604337
2.05983,-0.00107297,0,0.5,2.05814,-0.00225662,0.00168967,0.606026,0.606026
2.05983,-0.00107397,0,0.5,2.05813,-0.00234813,0.00170231,0.607729,0.607729
2.05983,-0.00107576,0,0.5,2.05812,-0.00244203,0.00171208,0.609441,0.609441
2.05983,-0.00107681,0,0.5,2.05811,-0.0025361,0.00171852,0.611159,0.611159
2.05983,-0.00107905,0,0,2.05811,-0.00262993,0.00172186,0.612881,0.612881
2.05983,-0.00108104,0,0,2.05811,-0.00268933,0.00172281,0.00172281,0.614604
2.05983,-0.00108328,0,0,2.05811,-0.00271142,0.00172305,0.00344586,0.616327
2.05983,-0.00108518,0,0,2.05811,-0.00271184,0.00172305,0.00516891,0.61805
2.05983,-0.00108535,0,0,2.05811,-0.00271201,0.00172305,0.00689197,0.619773
2.05983,-0.00108559,0,0,2.05811,-0.0027122,0.00172305,0.00861502,0.621496
2.05983,-0.00108572,0,0,2.05811,-0.00271237,0.00172305,0.0103381,0.623219
2.05983,-0.00108587,0,0,2.05811,-0.00271255,0.00172305,0.0120611,0.624942
2.05983,-0.00108604,0,0,2.05811,-0.00271273,0.00172305,0.0137842,0.626665
2.05983,-0.00108626,0,0,2.05811,-0.0027129,0.00172305,0.0155072,0.628388
2.05983,-0.0010643,0.0195,0,2.05811,-0.00250817,0.001724,0.0172312,0.630112
2.05982,0.000739194,0.0695,0,2.05809,0.0013183,0.00173426,0.0189655,0.631847
2.05978,0.00937342,0.118,0,2.05805,0.00997078,0.00172925,0.0206947,0.633576
2.0597,0.0249894,0.167,0,2.05798,0.0235217,0.0017345,0.0224292,0.63531
2.05966,0.0317755,0.214,0,2.05788,0.0419352,0.00159502,0.0240242,0.636905
2.05949,0.0614906,0.264,0,2.05776,0.0651565,0.00162053,0.0256448,0.638526
2.0594,0.0771981,0.314,0,2.0576,0.0936984,0.00111341,0.0267582,0.639639
2.05915,0.120817,0.363,0,2.05743,0.126549,0.00137997,0.0281382,0.641019
2.05894,0.15789,0.413,0,2.05722,0.164682,0.00118566,0.0293238,0.642205
2.05865,0.208968,0.463,0,2.05699,0.207797,0.00177288,0.0310967,0.643978
2.0585,0.237204,0.513,0,2.05674,0.255919,0.00047946,0.0315762,0.644457
2.05815,0.299102,0.5625,0,2.05646,0.309047,0.000221968,0.0317981,0.644679
2.05777,0.368195,0.6125,0,2.05616,0.367174,0.00177026,0.0335684,0.64645
2.05757,0.405433,0.663,0,2.05583,0.430276,0.00324297,0.0368114,0.649692
2.05714,0.485312,0.7125,0,2.05548,0.498407,0.00143886,0.0382502,0.651131
2.05675,0.557372,0.763,0,2.05511,0.572272,0.0023663,0.0406165,0.653498
2.05634,0.634426,0.8125,0,2.05472,0.649627,0.0029881,0.0436046,0.656486
2.05608,0.682967,0.817,0,2.05431,0.731197,0.0140188,0.0576234,0.670505
2.05547,0.797359,0.817,0,2.0539,0.812893,0.00420594,0.0618293,0.67471
2.05513,0.862718,0.817,0,2.05349,0.895409,0.0113568,0.0731862,0.686067
2.05469,0.944416,0.817,0,2.05309,0.976291,0.0120451,0.0852313,0.698112
2.05409,1.05879,0.817,0,2.05267,1.05962,0.000879049,0.0861104,0.698991
