x,y,vel,vel_ang,gazebox,gazeboy,blad,blad_bok,caly_blad
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.00388646,-1.47381e-07,1,0,0.00397527,-1.5944e-07,8.88153e-05,8.88153e-05,8.88153e-05
0.00388646,-1.47381e-07,1,0,0.00397527,-1.5944e-07,8.88153e-05,0.000177631,0.000177631
0.017689,-1.65354e-06,1,0,0.018067,-1.71134e-06,0.000378026,0.000555656,0.000555656
0.0359289,-4.95225e-06,1,0,0.0417776,-6.23551e-06,0.00584871,0.00640437,0.00640437
0.0605689,-1.10382e-05,1,0,0.0760673,-1.56102e-05,0.0154984,0.0219028,0.0219028
0.119089,-3.09593e-05,1,0,0.119578,-3.11046e-05,0.000489086,0.0223918,0.0223918
0.161329,-4.91037e-05,1,0,0.173478,-5.47477e-05,0.0121494,0.0345412,0.0345412
0.236689,-8.7801e-05,1,0,0.237379,-8.808e-05,0.000689745,0.035231,0.035231
0.265009,-0.000104188,1,0,0.31049,-0.000132257,0.0454816,0.0807126,0.0807126
0.376728,-0.000177369,1,0,0.395179,-0.000190468,0.0184508,0.0991634,0.0991634
0.449368,-0.000231512,1,0,0.490069,-0.000263654,0.040701,0.139864,0.139864
0.527967,-0.000295142,1,0,0.590998,-0.000347155,0.063032,0.202896,0.202896
0.667993,-0.000411197,1,0,0.689998,-0.000429182,0.0220044,0.224901,0.224901
0.767992,-0.000494065,1,0,0.788998,-0.000511214,0.021006,0.245907,0.245907
0.847991,-0.000560356,1,0,0.888998,-0.000594071,0.0410068,0.286914,0.286914
0.92799,-0.000626643,1,0,0.988998,-0.000676918,0.0610075,0.347921,0.347921
1.06799,-0.000742638,1,0,1.089,-0.000759762,0.0210087,0.36893,0.36893
1.16799,-0.000825484,1,0,1.189,-0.000842601,0.0210097,0.38994,0.38994
1.26799,-0.000908326,1,0,1.29,-0.000926261,0.0220104,0.41195,0.41195
1.38799,-0.00100773,1,0,1.39,-0.00100909,0.00201154,0.413962,0.413962
1.48799,-0.00109056,1,0,1.489,-0.00109108,0.00101244,0.414974,0.414974
1.56723,-0.00115584,0,0,1.58725,-0.00117148,0.0200182,0.434992,0.434992
1.641,-0.00121263,0,0,1.67634,-0.0012378,0.0353386,0.470331,0.470331
1.75468,-0.00128986,0,0,1.75544,-0.00129013,0.000755787,0.471087,0.471087
1.81084,-0.00132281,0,0,1.82454,-0.0013301,0.0136957,0.484782,0.484782
1.8606,-0.0013487,0,0,1.88364,-0.00135937,0.0230358,0.507818,0.507818
1.93228,-0.00137956,0,0,1.93274,-0.00137961,0.000455856,0.508274,0.508274
1.96444,-0.00139042,0,0,1.97184,-0.0013925,0.00739563,0.51567,0.51567
1.98436,-0.00139597,0,0,2.00093,-0.00139968,0.0165756,0.532245,0.532245
2.01684,-0.0014025,0,0,2.02017,-0.00140285,0.00333595,0.535581,0.535581
2.02476,-0.0014034,0,0,2.02913,-0.00140362,0.00437522,0.539956,0.539956
2.03,-0.00140371,0,0,2.02999,-0.00140364,1.04904e-05,0.539967,0.539967
2.02998,-0.00140371,0,0,2.02999,-0.00140364,9.77516e-06,0.539977,0.539977
2.02998,-0.00140371,0,0,2.02999,-0.00140364,1.3113e-05,0.53999,0.53999
2.02998,-0.00140371,0,0,2.02999,-0.00140364,1.3113e-05,0.540003,0.540003
2.02998,-0.00140371,0,0,2.02999,-0.00140364,1.3113e-05,0.540016,0.540016
2.02998,-0.00140371,0,0.5,2.02999,-0.00140351,1.19209e-05,0.540028,0.540028
2.02998,-0.00140369,0,0.5,2.02997,-0.00140371,1.7643e-05,0.540046,0.540046
2.03001,-0.00140275,0,0.5,2.02992,-0.00140418,8.86917e-05,0.540134,0.540134
2.03003,-0.00140151,0,0.5,2.02988,-0.00140388,0.000148296,0.540283,0.540283
2.0301,-0.00139399,0,0.5,2.02984,-0.00140374,0.000265837,0.540548,0.540548
2.03013,-0.00138971,0,0.5,2.02977,-0.00140679,0.000356913,0.540905,0.540905
2.03015,-0.00138459,0,0.5,2.0297,-0.00141375,0.000456333,0.541362,0.541362
2.03016,-0.0013829,0,0.5,2.02961,-0.00142472,0.00054431,0.541906,0.541906
2.03016,-0.00138155,0,0.5,2.02953,-0.00143947,0.000632286,0.542538,0.542538
2.03016,-0.00138121,0,0.5,2.02945,-0.00145814,0.000717878,0.543256,0.543256
2.03016,-0.00138125,0,0.5,2.02936,-0.0014801,0.000799894,0.544056,0.544056
2.03016,-0.00138144,0,0.5,2.02928,-0.00150632,0.000880718,0.544937,0.544937
2.03016,-0.00138219,0,0.5,2.02921,-0.00153585,0.000956059,0.545893,0.545893
2.03016,-0.00138276,0,0.5,2.02913,-0.00157036,0.00103188,0.546925,0.546925
2.03016,-0.00138373,0,0.5,2.02906,-0.00160792,0.00110102,0.548026,0.548026
2.03016,-0.00138409,0,0.5,2.02899,-0.00164957,0.00116777,0.549193,0.549193
2.03016,-0.00138539,0,0.5,2.02893,-0.00169586,0.00123024,0.550424,0.550424
2.03016,-0.00138618,0,0.5,2.02887,-0.00174694,0.00129032,0.551714,0.551714
2.03016,-0.00138719,0,0.5,2.02881,-0.00180122,0.00134444,0.553058,0.553058
2.03015,-0.00138835,0,0.5,2.02876,-0.00186084,0.00139642,0.554455,0.554455
2.03015,-0.00138953,0,0.5,2.02871,-0.00192337,0.00144267,0.555898,0.555898
2.03015,-0.0013906,0,0.5,2.02867,-0.00199051,0.00148582,0.557383,0.557383
2.03015,-0.00139148,0,0.5,2.02863,-0.00206224,0.0015254,0.558909,0.558909
2.03015,-0.0013928,0,0.5,2.02859,-0.0021354,0.0015595,0.560468,0.560468
2.03015,-0.00139416,0,0.5,2.02856,-0.00221506,0.00159144,0.56206,0.56206
2.03015,-0.00139485,0,0.5,2.02853,-0.00229637,0.0016191,0.563679,0.563679
2.03015,-0.00139648,0,0.5,2.02851,-0.00238057,0.00164247,0.565321,0.565321
2.03015,-0.00139695,0,0.5,2.02849,-0.00246649,0.00166297,0.566984,0.566984
2.03015,-0.00139862,0,0.5,2.02847,-0.00255553,0.0016799,0.568664,0.568664
2.03015,-0.0013996,0,0.5,2.02845,-0.00264742,0.00169373,0.570358,0.570358
2.03015,-0.00140135,0,0.5,2.02844,-0.00273906,0.00170374,0.572062,0.572062
2.03015,-0.00140187,0,0.5,2.02844,-0.00283282,0.00171137,0.573773,0.573773
2.03015,-0.00140386,0,0,2.02843,-0.00292617,0.00171566,0.575489,0.575489
2.03015,-0.00140645,0,0,2.02843,-0.00299238,0.00171733,0.00171733,0.577206
2.03015,-0.00140872,0,0,2.02843,-0.00301794,0.00171733,0.00343466,0.578923
2.03015,-0.00141087,0,0,2.02843,-0.00301879,0.00171757,0.00515223,0.580641
2.03015,-0.00141102,0,0,2.02843,-0.00301896,0.00171757,0.00686979,0.582358
2.03015,-0.00141119,0,0,2.02843,-0.00301914,0.00171757,0.00858736,0.584076
2.03015,-0.00141138,0,0,2.02843,-0.00301931,0.00171757,0.0103049,0.585794
2.03015,-0.00141156,0,0,2.02843,-0.0030195,0.00171757,0.0120225,0.587511
2.03015,-0.00141177,0,0,2.02843,-0.00301968,0.00171757,0.0137401,0.589229
2.03015,-0.00141198,0,0,2.02843,-0.00301985,0.00171757,0.0154576,0.590946
2.03015,-0.00141209,1,0,2.02843,-0.0027894,0.00171685,0.0171745,0.592663
2.03018,0.00551749,1,0,2.02846,0.00402673,0.00171995,0.0188944,0.594383
2.03024,0.0180666,1,0,2.02855,0.020816,0.00166583,0.0205603,0.596049
2.03037,0.0489693,1,0,2.02867,0.0476785,0.00173306,0.0222933,0.597782
2.03046,0.0698474,1,0,2.02883,0.0845765,0.00106382,0.0233572,0.598846
2.03064,0.112647,1,0,2.02904,0.131476,0.000459671,0.0238168,0.599305
2.03096,0.189366,1,0,2.02931,0.188995,0.00168371,0.0255005,0.600989
2.03119,0.242006,1,0,2.02962,0.255275,4.81606e-05,0.0255487,0.601037
2.03153,0.316805,1,0,2.02998,0.331356,0.0007658,0.0263145,0.601803
2.03191,0.401603,1,0,2.0304,0.419074,0.0019834,0.0282979,0.603787
2.03244,0.516348,1,0,2.03088,0.515742,0.00166082,0.0299587,0.605447
2.03272,0.576383,1,0,2.03137,0.615768,0.00979567,0.0397544,0.615243
2.03318,0.676375,1,0,2.03187,0.715769,0.0115199,0.0512743,0.626763
2.03364,0.776373,1,0,2.03236,0.815768,0.0131679,0.0644422,0.639931
2.0343,0.91637,1,0,2.03286,0.915767,0.00156093,0.0660031,0.641492
2.03467,0.996369,1,0,2.03335,1.01577,0.00741887,0.073422,0.648911
2.03504,1.07637,1,0,2.03384,1.11576,0.0176339,0.0910559,0.666544
2.03569,1.21636,1,0,2.03434,1.21676,0.000950575,0.0920064,0.667495
2.03606,1.29636,1,0,2.03483,1.31576,0.00944281,0.101449,0.676938
2.03653,1.39636,1,0,2.03533,1.41576,0.0100384,0.111488,0.686976
2.0368,1.45636,0,0,2.03582,1.51576,0.0342209,0.145709,0.721197
2.03744,1.59403,0,0,2.0363,1.61269,0.0106394,0.156348,0.731837
2.03777,1.66538,0,0,2.03671,1.69788,0.0198681,0.176216,0.751705
2.03819,1.76042,0,0,2.03707,1.77398,0.0080328,0.184249,0.759738
2.03849,1.82862,0,0,2.03738,1.84007,0.00683594,0.191085,0.766573
2.0387,1.87598,0,0,2.03764,1.89617,0.0129375,0.204022,0.779511
2.03887,1.91694,0,0,2.03785,1.94227,0.0166709,0.220693,0.796182
2.03911,1.97322,0,0,2.03801,1.97868,0.00301409,0.223707,0.799196
2.0392,1.99658,0,0,2.03813,2.00572,0.0056355,0.229343,0.804832
2.03928,2.01678,0,0,2.03819,2.02057,0.00189161,0.231235,0.806723
2.03932,2.02698,0,0,2.03821,2.02667,0.00100255,0.232237,0.807726
2.03933,2.02835,0,0,2.03821,2.02675,0.00191545,0.234153,0.809641
2.03933,2.02835,0,0,2.03821,2.02675,0.00191617,0.236069,0.811557
2.03933,2.02835,0,0,2.03821,2.02675,0.00191665,0.237985,0.813474
2.03933,2.02835,0,0,2.03821,2.02675,0.00191665,0.239902,0.815391
2.03933,2.02835,0,0,2.03821,2.02675,0.00191665,0.241819,0.817307
2.03933,2.02835,0,0.5,2.03821,2.02674,0.00192142,0.24374,0.819229
2.03933,2.02835,0,0.5,2.03821,2.02671,0.00194693,0.245687,0.821176
2.03933,2.02838,0,0.5,2.03822,2.02667,0.00199914,0.247686,0.823175
2.03932,2.02843,0,0.5,2.03822,2.02663,0.0020535,0.24974,0.825228
2.03932,2.02847,0,0.5,2.03822,2.02658,0.00211239,0.251852,0.827341
2.03931,2.02851,0,0.5,2.03823,2.02651,0.00218058,0.254033,0.829521
2.03931,2.02853,0,0.5,2.03824,2.02644,0.00223541,0.256268,0.831757
2.03931,2.02853,0,0.5,2.03825,2.02635,0.00228405,0.258552,0.834041
2.0393,2.02854,0,0.5,2.03827,2.02627,0.00232935,0.260881,0.83637
2.0393,2.02854,0,0.5,2.0383,2.02619,0.00236964,0.263251,0.83874
2.0393,2.02854,0,0.5,2.03833,2.02611,0.00240636,0.265657,0.841146
2.0393,2.02854,0,0.5,2.03836,2.02603,0.00243711,0.268095,0.843583
2.03931,2.02854,0,0.5,2.03839,2.02596,0.00246239,0.270557,0.846046
2.03931,2.02854,0,0.5,2.03844,2.02589,0.00248265,0.27304,0.848528
