x,y,vel,vel_ang,gazebox,gazeboy,blad,blad_bok,caly_blad
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.00305086,-9.22343e-08,1,0,0.00415525,-1.6108e-07,0.00110439,0.00110439,0.00110439
0.00305086,-9.22343e-08,1,0,0.00415525,-1.6108e-07,0.00110439,0.00220879,0.00220879
0.0124969,-9.36776e-07,1,0,0.0184481,-1.73012e-06,0.00595125,0.00816004,0.00816004
0.0283379,-3.38172e-06,1,0,0.0423567,-6.28755e-06,0.0140188,0.0221789,0.0221789
0.0640981,-1.19181e-05,1,0,0.0764569,-1.55872e-05,0.0123589,0.0345377,0.0345377
0.0959381,-2.20995e-05,1,0,0.120557,-3.1266e-05,0.0246191,0.0591568,0.0591568
0.144738,-4.13744e-05,1,0,0.174657,-5.49855e-05,0.0299194,0.0890762,0.0890762
0.216498,-7.63041e-05,1,0,0.239449,-8.87979e-05,0.0229512,0.112027,0.112027
0.302658,-0.000126821,1,0,0.312858,-0.0001332,0.0102002,0.122228,0.122228
0.351138,-0.000158823,1,0,0.396958,-0.000191023,0.0458207,0.168048,0.168048
0.478257,-0.000253463,1,0,0.491059,-0.000263541,0.0128017,0.18085,0.18085
0.558001,-0.000319028,1,0,0.590998,-0.000346051,0.0329964,0.213847,0.213847
0.657993,-0.000401686,1,0,0.690997,-0.00042872,0.0330039,0.24685,0.24685
0.777991,-0.000500903,1,0,0.790997,-0.000511394,0.0130063,0.259857,0.259857
0.81799,-0.000533973,1,0,0.890997,-0.000594065,0.0730065,0.332863,0.332863
0.937989,-0.000633182,1,0,0.990997,-0.000676727,0.0530076,0.385871,0.385871
1.05799,-0.000732383,1,0,1.092,-0.000760211,0.0340086,0.419879,0.419879
1.15799,-0.000815044,1,0,1.192,-0.000842863,0.0340096,0.453889,0.453889
1.27799,-0.000914231,1,0,1.291,-0.000924684,0.0130105,0.4669,0.4669
1.37799,-0.000996881,1,0,1.391,-0.00100732,0.0130113,0.479911,0.479911
1.45798,-0.001063,1,0,1.491,-0.00108996,0.0330119,0.512923,0.512923
1.55629,-0.00114325,0,0,1.58684,-0.00116651,0.030547,0.54347,0.54347
1.66212,-0.00122105,0,0,1.67274,-0.00122803,0.0106148,0.554085,0.554085
1.72468,-0.00126181,0,0,1.74864,-0.00127608,0.0239553,0.57804,0.57804
1.78084,-0.00129466,0,0,1.81514,-0.00131263,0.0343039,0.612344,0.612344
1.84204,-0.0013259,0,0,1.87043,-0.00133843,0.0283954,0.640739,0.640739
1.90228,-0.00135118,0,0,1.91633,-0.00135605,0.0140555,0.654795,0.654795
1.93444,-0.00136198,0,0,1.95223,-0.00136686,0.0177953,0.67259,0.67259
1.96564,-0.00137015,0,0,1.97813,-0.00137253,0.0124952,0.685085,0.685085
1.99252,-0.00137464,0,0,1.99403,-0.00137471,0.00151503,0.6866,0.6866
1.99908,-0.00137512,0,0,1.99995,-0.00137508,0.000870824,0.687471,0.687471
1.99997,-0.00137514,0,0,1.99999,-0.00137508,1.90735e-05,0.68749,0.68749
1.99998,-0.00137514,0,0,1.99999,-0.00137508,1.32322e-05,0.687503,0.687503
1.99998,-0.00137514,0,0,1.99999,-0.00137508,1.3113e-05,0.687516,0.687516
1.99998,-0.00137514,0,0,1.99999,-0.00137508,1.29938e-05,0.687529,0.687529
1.99998,-0.00137514,0,0,1.99999,-0.00137508,1.28746e-05,0.687542,0.687542
1.99998,-0.00137514,0,0.5,1.99998,-0.00137499,3.8147e-06,0.687546,0.687546
1.99999,-0.00137502,0,0.5,1.99995,-0.00137534,4.17233e-05,0.687588,0.687588
2.00001,-0.00137394,0,0.5,1.9999,-0.00137575,0.000111341,0.687699,0.687699
2.00008,-0.00136837,0,0.5,1.99986,-0.00137497,0.000214458,0.687914,0.687914
2.00011,-0.00136369,0,0.5,1.99981,-0.00137594,0.000302434,0.688216,0.688216
2.00013,-0.00135972,0,0.5,1.99974,-0.00138055,0.000394344,0.68861,0.68861
2.00015,-0.00135568,0,0.5,1.99966,-0.00138922,0.000491261,0.689102,0.689102
2.00016,-0.00135353,0,0.5,1.99958,-0.00140179,0.000581741,0.689683,0.689683
2.00016,-0.00135296,0,0.5,1.99949,-0.00141812,0.00066781,0.690351,0.690351
2.00016,-0.0013525,0,0.5,1.99941,-0.00143814,0.000752568,0.691104,0.691104
2.00016,-0.00135262,0,0.5,1.99933,-0.00146188,0.000834107,0.691938,0.691938
2.00016,-0.00135313,0,0.5,1.99925,-0.00148944,0.000912428,0.69285,0.69285
2.00016,-0.00135362,0,0.5,1.99917,-0.00152091,0.000988245,0.693839,0.693839
2.00016,-0.0013542,0,0.5,1.9991,-0.00155641,0.00106084,0.694899,0.694899
2.00016,-0.00135535,0,0.5,1.99903,-0.00159602,0.00112903,0.696028,0.696028
2.00016,-0.00135605,0,0.5,1.99896,-0.00163985,0.0011946,0.697223,0.697223
2.00016,-0.00135726,0,0.5,1.9989,-0.00168792,0.00125563,0.698479,0.698479
2.00016,-0.00135825,0,0.5,1.99884,-0.00174026,0.00131321,0.699792,0.699792
2.00015,-0.00135929,0,0.5,1.99879,-0.00179685,0.00136673,0.701159,0.701159
2.00015,-0.00135992,0,0.5,1.99874,-0.00185824,0.00141692,0.702576,0.702576
2.00015,-0.00136121,0,0.5,1.99869,-0.00192246,0.00146163,0.704037,0.704037
2.00015,-0.00136208,0,0.5,1.99865,-0.00199125,0.00150323,0.70554,0.70554
2.00015,-0.00136363,0,0.5,1.99861,-0.00206381,0.00154042,0.707081,0.707081
2.00015,-0.00136429,0,0.5,1.99858,-0.00213993,0.00157404,0.708655,0.708655
2.00015,-0.00136587,0,0.5,1.99855,-0.0022202,0.00160372,0.710259,0.710259
2.00015,-0.00136678,0,0.5,1.99852,-0.00230191,0.00162947,0.711888,0.711888
2.00015,-0.00136819,0,0.5,1.9985,-0.00238722,0.00165176,0.71354,0.71354
2.00015,-0.00136914,0,0.5,1.99848,-0.002475,0.00167072,0.715211,0.715211
2.00015,-0.00137036,0,0.5,1.99846,-0.00256491,0.0016861,0.716897,0.716897
2.00015,-0.00137186,0,0.5,1.99845,-0.0026566,0.00169849,0.718595,0.718595
2.00015,-0.00137314,0,0.5,1.99844,-0.00274971,0.00170767,0.720303,0.720303
2.00015,-0.00137391,0,0,1.99843,-0.00284386,0.00171399,0.722017,0.722017
2.00015,-0.00137678,0,0,1.99843,-0.00292039,0.00171661,0.00171661,0.723733
2.00015,-0.00138022,0,0,1.99843,-0.00295749,0.00171721,0.00343382,0.725451
2.00015,-0.00138186,0,0,1.99843,-0.00296159,0.00171733,0.00515115,0.727168
2.00015,-0.00138191,0,0,1.99843,-0.00296178,0.00171745,0.0068686,0.728885
2.00015,-0.00138214,0,0,1.99843,-0.00296192,0.00171733,0.00858593,0.730603
2.00015,-0.0013823,0,0,1.99843,-0.00296212,0.00171745,0.0103034,0.73232
2.00015,-0.00138251,0,0,1.99843,-0.00296229,0.00171745,0.0120208,0.734038
2.00015,-0.00138269,0,0,1.99843,-0.00296246,0.00171745,0.0137383,0.735755
2.00015,-0.00138283,0,0,1.99843,-0.00296264,0.00171745,0.0154557,0.737473
2.00015,-0.00138301,1,0,1.99843,-0.00296282,0.00171745,0.0171732,0.73919
2.00021,0.00164899,1,0,1.99851,0.00116402,0.00169683,0.01887,0.740887
2.00039,0.0110173,1,0,1.99878,0.0151577,0.00157619,0.0204462,0.742463
2.00069,0.0267757,1,0,1.99925,0.0391914,0.00123692,0.0216831,0.7437
2.0015,0.0698641,1,0,1.9999,0.0732803,0.00147963,0.0231627,0.74518
2.00213,0.103298,1,0,2.00074,0.117372,0.000611544,0.0237743,0.745791
2.00331,0.165447,1,0,2.00178,0.171463,0.00101423,0.0247885,0.746805
2.004,0.20192,1,0,2.00309,0.239018,0.00315046,0.027939,0.749956
2.00589,0.301022,1,0,2.00447,0.310429,1.66893e-05,0.0279557,0.749972
2.00714,0.36645,1,0,2.00609,0.393722,0.00404501,0.0320007,0.754017
2.00889,0.457233,1,0,2.00793,0.487804,0.00607109,0.0380718,0.760089
2.01119,0.576313,1,0,2.00989,0.587724,0.00192904,0.0400008,0.762018
2.01234,0.636295,1,0,2.01185,0.687704,0.0155973,0.0555981,0.777615
2.01505,0.776267,1,0,2.01381,0.787685,0.00297952,0.0585777,0.780594
2.01698,0.876247,1,0,2.01577,0.887666,0.00347042,0.0620481,0.784065
2.01852,0.956232,1,0,2.01773,0.987646,0.0129178,0.0749658,0.796983
2.02045,1.05621,1,0,2.01969,1.08763,0.0140522,0.089018,0.811035
2.02277,1.17619,1,0,2.02165,1.18761,0.0047965,0.0938145,0.815831
2.0247,1.27617,1,0,2.02363,1.28859,0.00574303,0.0995575,0.821574
2.02625,1.35615,1,0,2.02557,1.38757,0.0170569,0.116614,0.838631
2.02818,1.45613,1,0,2.02753,1.48755,0.0179327,0.134547,0.856564
2.03045,1.57379,0,0,2.02943,1.58424,0.0056088,0.140156,0.862173
2.03115,1.61025,0,0,2.03114,1.67193,0.0387549,0.178911,0.900928
2.03306,1.71007,0,0,2.03261,1.748,0.0242298,0.203141,0.925157
2.03444,1.78226,0,0,2.03391,1.81489,0.0212121,0.224353,0.94637
2.03604,1.86652,0,0,2.035,1.87178,0.00278783,0.227141,0.949157
2.03679,1.90588,0,0,2.03592,1.9195,0.00869727,0.235838,0.957855
2.03767,1.95291,0,0,2.03661,1.95556,0.00106835,0.236906,0.958923
2.0382,1.9811,0,0,2.03712,1.98267,0.000324011,0.23723,0.959247
2.03848,1.99646,0,0,2.03744,1.99935,0.00127673,0.238507,0.960524
2.03869,2.0075,0,0,2.03757,2.00625,0.00167489,0.240182,0.962199
2.0387,2.00802,0,0,2.03757,2.00644,0.00190902,0.242091,0.964108
2.0387,2.00803,0,0,2.03757,2.00645,0.00191164,0.244002,0.966019
2.0387,2.00803,0,0,2.03757,2.00645,0.00191212,0.245915,0.967931
2.0387,2.00803,0,0,2.03757,2.00645,0.00191236,0.247827,0.969844
2.0387,2.00803,0,0,2.03757,2.00645,0.00191236,0.249739,0.971756
2.0387,2.00803,0,0.5,2.03757,2.00644,0.00191855,0.251658,0.973675
2.0387,2.00804,0,0.5,2.03757,2.0064,0.0019505,0.253608,0.975625
2.0387,2.00806,0,0.5,2.03757,2.00636,0.00199223,0.255601,0.977617
2.03869,2.00813,0,0.5,2.03757,2.00632,0.00206709,0.257668,0.979684
2.03869,2.00817,0,0.5,2.03758,2.00627,0.00212383,0.259791,0.981808
2.03869,2.00819,0,0.5,2.03758,2.0062,0.00218368,0.261975,0.983992
2.03868,2.00821,0,0.5,2.03759,2.00612,0.00223923,0.264214,0.986231
2.03868,2.00821,0,0.5,2.03761,2.00604,0.00228763,0.266502,0.988519
2.03868,2.00822,0,0.5,2.03763,2.00596,0.00233412,0.268836,0.990853
2.03868,2.00822,0,0.5,2.03765,2.00588,0.00237536,0.271212,0.993228
2.03868,2.00822,0,0.5,2.03768,2.0058,0.00241208,0.273624,0.99564
2.03868,2.00822,0,0.5,2.03771,2.00572,0.00244403,0.276068,0.998084
2.03868,2.00822,0,0.5,2.03775,2.00564,0.00246954,0.278537,1.00055
2.03868,2.00822,0,0.5,2.03779,2.00557,0.00249076,0.281028,1.00304
2.03868,2.00822,0,0.5,2.03783,2.00551,0.00250578,0.283534,1.00555
2.03868,2.00821,0,0.5,2.03788,2.00544,0.00251555,0.286049,1.00807
