x,y,vel,vel_ang,gazebox,gazeboy,blad,blad_bok,caly_blad
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.00231918,-6.25331e-08,1,0,0.00379876,-1.53098e-07,0.00147957,0.00147957,0.00147957
0.00231918,-6.25331e-08,1,0,0.00379876,-1.53098e-07,0.00147957,0.00295914,0.00295914
0.0141286,-1.17644e-06,1,0,0.0175018,-1.64624e-06,0.00337328,0.00633243,0.00633243
0.0359293,-4.98449e-06,1,0,0.041202,-6.14229e-06,0.00527271,0.0116051,0.0116051
0.0605693,-1.10927e-05,1,0,0.0749022,-1.53153e-05,0.0143329,0.025938,0.025938
0.109529,-2.73567e-05,1,0,0.118603,-3.08272e-05,0.00907309,0.0350111,0.0350111
0.161329,-4.92489e-05,1,0,0.172303,-5.4342e-05,0.0109734,0.0459845,0.0459845
0.223129,-8.04959e-05,1,0,0.236691,-8.79079e-05,0.0135612,0.0595457,0.0595457
0.279769,-0.000113347,1,0,0.309703,-0.00013203,0.0299342,0.0894799,0.0894799
0.342809,-0.000154102,1,0,0.394291,-0.000190177,0.0514822,0.140962,0.140962
0.468528,-0.000247003,1,0,0.487104,-0.000261689,0.0185757,0.159538,0.159538
0.568004,-0.000328864,1,0,0.587001,-0.000344376,0.0189967,0.178534,0.178534
0.647994,-0.000395209,1,0,0.686998,-0.000427316,0.039004,0.217538,0.217538
0.767992,-0.000494757,1,0,0.786998,-0.000510267,0.0190061,0.236544,0.236544
0.867991,-0.00057771,1,0,0.886998,-0.000593213,0.019007,0.255552,0.255552
0.947991,-0.000644068,1,0,0.986998,-0.000676152,0.0390077,0.294559,0.294559
1.08799,-0.000760187,1,0,1.089,-0.000760743,0.00100899,0.295568,0.295568
1.16799,-0.000826536,1,0,1.187,-0.000842013,0.0190095,0.314578,0.314578
1.26799,-0.000909467,1,0,1.287,-0.000924936,0.0190104,0.333588,0.333588
1.36799,-0.000992393,1,0,1.387,-0.00100785,0.0190113,0.352599,0.352599
1.46799,-0.00107531,1,0,1.487,-0.00109077,0.0190123,0.371612,0.371612
1.56754,-0.00115769,0,0,1.58587,-0.00117218,0.0183275,0.389939,0.389939
1.65977,-0.00122882,0,0,1.67617,-0.0012404,0.0164034,0.406343,0.406343
1.74197,-0.00128536,0,0,1.75647,-0.0012944,0.0145017,0.420844,0.420844
1.80053,-0.00132123,0,0,1.82743,-0.00133618,0.0268943,0.447739,0.447739
1.87637,-0.00136145,0,0,1.88707,-0.00136634,0.0107019,0.45844,0.45844
1.92857,-0.00138434,0,0,1.93737,-0.00138763,0.00880182,0.467242,0.467242
1.97077,-0.00139934,0,0,1.97802,-0.00140145,0.00725424,0.474497,0.474497
2.00297,-0.00140813,0,0,2.00797,-0.00140915,0.00500178,0.479498,0.479498
2.02153,-0.0014118,0,0,2.02827,-0.00141272,0.00674152,0.48624,0.48624
2.03737,-0.00141371,0,0,2.03857,-0.00141371,0.00120139,0.487441,0.487441
2.04001,-0.00141382,0,0,2.04,-0.00141376,1.21593e-05,0.487453,0.487453
2.03998,-0.00141382,0,0,2.03999,-0.00141376,9.53674e-06,0.487463,0.487463
2.03998,-0.00141382,0,0,2.03999,-0.00141376,1.3113e-05,0.487476,0.487476
2.03998,-0.00141382,0,0,2.03999,-0.00141376,1.33514e-05,0.487489,0.487489
2.03998,-0.00141382,0,0,2.03999,-0.00141376,1.33514e-05,0.487503,0.487503
2.03998,-0.00141382,0,-0.5,2.03999,-0.00141382,1.33514e-05,0.487516,0.487516
2.03998,-0.00141382,0,-0.5,2.04002,-0.00141389,3.60012e-05,0.487552,0.487552
2.03999,-0.00141403,0,-0.5,2.04009,-0.0014148,0.000101805,0.487654,0.487654
2.04003,-0.00141654,0,-0.5,2.04023,-0.00142035,0.000197887,0.487852,0.487852
2.04008,-0.00142194,0,-0.5,2.04037,-0.00143088,0.000288486,0.48814,0.48814
2.04011,-0.00142635,0,-0.5,2.04049,-0.00144343,0.000382423,0.488523,0.488523
2.04013,-0.00143133,0,-0.5,2.0406,-0.00145716,0.000466347,0.488989,0.488989
2.04014,-0.00143391,0,-0.5,2.0407,-0.00147191,0.000553131,0.489542,0.489542
2.04015,-0.0014349,0,-0.5,2.04079,-0.00148861,0.000641346,0.490184,0.490184
2.04015,-0.00143614,0,-0.5,2.04088,-0.00150764,0.000725031,0.490909,0.490909
2.04015,-0.00143635,0,-0.5,2.04096,-0.00152942,0.000807762,0.491716,0.491716
2.04015,-0.00143625,0,-0.5,2.04104,-0.0015543,0.000887871,0.492604,0.492604
2.04015,-0.00143589,0,-0.5,2.04112,-0.00158287,0.000966072,0.49357,0.49357
2.04015,-0.00143559,0,-0.5,2.04119,-0.00161448,0.00103927,0.49461,0.49461
2.04015,-0.00143469,0,-0.5,2.04126,-0.0016502,0.00111079,0.49572,0.49572
2.04015,-0.00143407,0,-0.5,2.04133,-0.00169071,0.00117898,0.496899,0.496899
2.04015,-0.00143302,0,-0.5,2.04139,-0.00173408,0.0012424,0.498142,0.498142
2.04015,-0.00143225,0,-0.5,2.04145,-0.00178148,0.00130153,0.499443,0.499443
2.04014,-0.00143142,0,-0.5,2.0415,-0.00183347,0.00135708,0.5008,0.5008
2.04014,-0.0014301,0,-0.5,2.04155,-0.00189074,0.00141001,0.50221,0.50221
2.04014,-0.00142925,0,-0.5,2.0416,-0.00194972,0.00145698,0.503667,0.503667
2.04014,-0.00142735,0,-0.5,2.04164,-0.00201381,0.00150156,0.505169,0.505169
2.04014,-0.001426,0,-0.5,2.04168,-0.00208168,0.00154114,0.50671,0.50671
2.04014,-0.00142488,0,-0.5,2.04172,-0.00215317,0.00157666,0.508287,0.508287
2.04014,-0.00142313,0,-0.5,2.04175,-0.00222883,0.00160909,0.509896,0.509896
2.04014,-0.00142193,0,-0.5,2.04177,-0.00230692,0.00163722,0.511533,0.511533
2.04014,-0.00142009,0,-0.5,2.0418,-0.0023871,0.00166178,0.513195,0.513195
2.04014,-0.00141853,0,-0.5,2.04182,-0.0024707,0.001683,0.514878,0.514878
2.04014,-0.00141728,0,-0.5,2.04184,-0.0025566,0.0017004,0.516578,0.516578
2.04014,-0.00141604,0,-0.5,2.04185,-0.00264446,0.00171447,0.518293,0.518293
2.04014,-0.00141386,0,-0.5,2.04186,-0.00273395,0.00172591,0.520019,0.520019
2.04014,-0.00141262,0,-0.5,2.04187,-0.0028256,0.00173402,0.521753,0.521753
2.04014,-0.0014111,0,0,2.04187,-0.00291632,0.00173903,0.523492,0.523492
2.04014,-0.00141123,0,0,2.04188,-0.00299237,0.00174117,0.00174117,0.525233
2.04014,-0.00141311,0,0,2.04188,-0.00303028,0.00174117,0.00348234,0.526974
2.04014,-0.00141451,0,0,2.04188,-0.00303471,0.00174117,0.00522351,0.528715
2.04014,-0.00141436,0,0,2.04188,-0.00303448,0.00174117,0.00696468,0.530456
2.04014,-0.00141414,0,0,2.04188,-0.00303429,0.00174117,0.00870585,0.532197
2.04014,-0.00141389,0,0,2.04188,-0.00303407,0.00174117,0.010447,0.533939
2.04014,-0.00141368,0,0,2.04188,-0.00303386,0.00174117,0.0121882,0.53568
2.04014,-0.00141352,0,0,2.04188,-0.00303366,0.00174117,0.0139294,0.537421
2.04014,-0.00141331,0,0,2.04188,-0.00303345,0.00174117,0.0156705,0.539162
2.04014,-0.0014131,0,0,2.04188,-0.00303324,0.00174117,0.0174117,0.540903
2.04014,-0.00309599,1,0,2.04188,-0.00598828,0.00174665,0.0191584,0.54265
2.04013,-0.0138162,1,0,2.04187,-0.0185983,0.00178051,0.0209389,0.54443
2.04012,-0.0250337,1,0,2.04186,-0.0412273,0.00199986,0.0229387,0.54643
2.04008,-0.0653159,1,0,2.04183,-0.0746765,0.00207067,0.0250094,0.548501
2.04004,-0.0971556,1,0,2.04178,-0.116621,0.00276351,0.0277729,0.551264
2.03998,-0.135395,1,0,2.04172,-0.169321,0.00426078,0.0320337,0.555525
2.03985,-0.217715,1,0,2.04164,-0.232021,0.00334406,0.0353777,0.558869
2.03976,-0.273555,1,0,2.04154,-0.304721,0.00613451,0.0415123,0.565004
2.03962,-0.352355,1,0,2.04142,-0.387422,0.00802135,0.0495336,0.573025
2.03946,-0.441154,1,0,2.04128,-0.480122,0.01035,0.0598836,0.583375
2.03924,-0.559218,1,0,2.04112,-0.579843,0.00735331,0.0672369,0.590728
2.03905,-0.65921,1,0,2.04095,-0.680836,0.00855827,0.0757952,0.599287
2.03886,-0.759208,1,0,2.04079,-0.779836,0.00909328,0.0848885,0.60838
2.03867,-0.859206,1,0,2.04063,-0.879836,0.00989938,0.0947878,0.618279
2.03851,-0.939206,1,0,2.04047,-0.979836,0.0190685,0.113856,0.637348
2.03828,-1.0592,1,0,2.04031,-1.08084,0.0118439,0.1257,0.649192
2.03809,-1.1592,1,0,2.04015,-1.17984,0.0120492,0.137749,0.661241
2.0379,-1.2592,1,0,2.03999,-1.27984,0.0126772,0.150427,0.673918
2.03771,-1.3592,1,0,2.03983,-1.37983,0.0132627,0.163689,0.687181
2.03748,-1.4792,1,0,2.03967,-1.48083,0.00272775,0.166417,0.689909
2.03737,-1.53899,0,0,2.03951,-1.5782,0.0255187,0.191936,0.715427
2.03723,-1.61437,0,0,2.03938,-1.66749,0.0349798,0.226916,0.750407
2.03705,-1.71542,0,0,2.03926,-1.74753,0.0224788,0.249394,0.772886
2.0369,-1.80205,0,0,2.03917,-1.81609,0.0110099,0.260404,0.783896
2.03682,-1.85181,0,0,2.03909,-1.87539,0.0175827,0.277987,0.801479
2.03673,-1.91445,0,0,2.03903,-1.92469,0.00869465,0.286682,0.810173
2.03667,-1.95565,0,0,2.03899,-1.96399,0.00744891,0.294131,0.817622
2.03663,-1.98141,0,0,2.03896,-1.99329,0.00995421,0.304085,0.827576
2.0366,-2.00805,0,0,2.03894,-2.01259,0.00484991,0.308935,0.832426
2.03659,-2.01925,0,0,2.03893,-2.02189,0.00351954,0.312454,0.835946
2.03659,-2.02123,0,0,2.03893,-2.02282,0.00279093,0.315245,0.838737
2.03659,-2.0212,0,0,2.03893,-2.02283,0.00281525,0.31806,0.841552
2.03659,-2.02119,0,0,2.03893,-2.02283,0.00281811,0.320879,0.84437
2.03659,-2.02119,0,0,2.03893,-2.02283,0.00281811,0.323697,0.847188
2.03659,-2.02119,0,0,2.03893,-2.02283,0.00281811,0.326515,0.850006
2.03659,-2.02119,0,-0.5,2.03893,-2.02283,0.00281858,0.329333,0.852825
2.03659,-2.02119,0,-0.5,2.03893,-2.02286,0.00284028,0.332174,0.855665
2.03659,-2.0212,0,-0.5,2.03893,-2.02295,0.00289512,0.335069,0.85856
2.03658,-2.02126,0,-0.5,2.03892,-2.02309,0.00295639,0.338025,0.861517
2.03658,-2.02131,0,-0.5,2.03891,-2.02323,0.00301313,0.341038,0.86453
2.03657,-2.02133,0,-0.5,2.03889,-2.02335,0.00307131,0.34411,0.867601
2.03657,-2.02136,0,-0.5,2.03887,-2.02346,0.0031209,0.34723,0.870722
2.03656,-2.02136,0,-0.5,2.03886,-2.02356,0.00317025,0.350401,0.873892
2.03656,-2.02137,0,-0.5,2.03883,-2.02365,0.00321579,0.353616,0.877108
2.03656,-2.02137,0,-0.5,2.03881,-2.02373,0.00325584,0.356872,0.880364
2.03656,-2.02137,0,-0.5,2.03878,-2.02381,0.00329232,0.360165,0.883656
